"TABLE 11.--- MS-LTC-DRGS, RELATIVE WEIGHTS, GEOMETRIC AVERAGE LENGTH OF STAY, SHORT-STAY OUTLIER (SSO) THRESHOLD, AND “IPPS COMPARABLE THRESHOLD” FOR DISCHARGES OCCURRING FROM OCTOBER 1, 2016 THROUGH SEPTEMBER 30, 2017 UNDER THE LTCH PPS
(as corrected in CMS-1655-CN issued October 2016)"						
412	Cholecystectomy w c.d.e. w CC	0	0.5008	16.2	13.5	11.0
413	Cholecystectomy w c.d.e. w/o CC/MCC	0	0.5008	16.2	13.5	7.6
414	Cholecystectomy except by laparoscope w/o c.d.e. w MCC	0	1.1287	28.5	23.8	16.0
415	Cholecystectomy except by laparoscope w/o c.d.e. w CC	0	1.1287	28.5	23.8	9.6
416	Cholecystectomy except by laparoscope w/o c.d.e. w/o CC/MCC	0	1.1287	28.5	23.8	6.0
417	Laparoscopic cholecystectomy w/o c.d.e. w MCC	6	1.1287	28.5	23.8	10.8
418	Laparoscopic cholecystectomy w/o c.d.e. w CC	3	1.1287	28.5	23.8	7.2
419	Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC	0	1.1287	28.5	23.8	4.5
420	Hepatobiliary diagnostic procedures w MCC	1	1.8964	40.0	33.3	18.1
421	Hepatobiliary diagnostic procedures w CC	0	0.676	18.6	15.5	8.9
422	Hepatobiliary diagnostic procedures w/o CC/MCC	0	0.5008	16.2	13.5	5.5
423	Other hepatobiliary or pancreas O.R. procedures w MCC	16	1.1287	28.5	23.8	21.3
424	Other hepatobiliary or pancreas O.R. procedures w CC	0	1.1287	28.5	23.8	12.7
425	Other hepatobiliary or pancreas O.R. procedures w/o CC/MCC	0	0.6289	17.5	14.6	6.0
432	Cirrhosis & alcoholic hepatitis w MCC	35	0.6289	17.5	14.6	9.9
433	Cirrhosis & alcoholic hepatitis w CC	2	0.6289	17.5	14.6	6.3
434	Cirrhosis & alcoholic hepatitis w/o CC/MCC	0	0.6289	17.5	14.6	4.6
435	Malignancy of hepatobiliary system or pancreas w MCC	9	1.1287	28.5	23.8	10.6
436	Malignancy of hepatobiliary system or pancreas w CC	1	1.1287	28.5	23.8	7.7
437	Malignancy of hepatobiliary system or pancreas w/o CC/MCC	0	0.6083	18.3	15.3	5.4
438	Disorders of pancreas except malignancy w MCC	166	1.1083	23.4	19.5	10.6
439	Disorders of pancreas except malignancy w CC	30	0.676	18.6	15.5	6.4
440	Disorders of pancreas except malignancy w/o CC/MCC	5	0.5008	16.2	13.5	4.6
441	"Disorders of liver except malig,cirr,alc hepa w MCC"	139	0.9608	23.0	19.2	11.0
442	"Disorders of liver except malig,cirr,alc hepa w CC"	28	0.6082	19.0	15.8	6.4
443	"Disorders of liver except malig,cirr,alc hepa w/o CC/MCC"	0	0.5008	16.2	13.5	4.7
444	Disorders of the biliary tract w MCC	98	0.8121	21.7	18.1	9.4
445	Disorders of the biliary tract w CC	17	0.8121	21.7	18.1	6.1
446	Disorders of the biliary tract w/o CC/MCC	2	0.8121	21.7	18.1	4.3
453	Combined anterior/posterior spinal fusion w MCC	1	1.8964	40.0	33.3	16.6
454	Combined anterior/posterior spinal fusion w CC	0	0.7605	24.9	20.8	8.3
455	Combined anterior/posterior spinal fusion w/o CC/MCC	0	0.7605	24.9	20.8	5.0
456	Spinal fus exc cerv w spinal curv/malig/infec or ext fus w MCC	0	0.965	26.5	22.1	18.0
457	Spinal fus exc cerv w spinal curv/malig/infec or ext fus w CC	0	0.8304	23.5	19.6	9.4
458	Spinal fus exc cerv w spinal curv/malig/infec or ext fus w/o CC/MCC	0	0.8304	23.5	19.6	5.4
459	Spinal fusion except cervical w MCC	0	1.1322	30.3	25.3	12.8
460	Spinal fusion except cervical w/o MCC	0	0.6798	20.5	17.1	5.1
461	Bilateral or multiple major joint procs of lower extremity w MCC	0	1.1287	28.5	23.8	12.7
462	Bilateral or multiple major joint procs of lower extremity w/o MCC	0	0.5008	16.2	13.5	4.5
463	"Wnd debrid & skn grft exc hand, for musculo-conn tiss dis w MCC"	325	1.5716	38.7	32.3	22.2
464	"Wnd debrid & skn grft exc hand, for musculo-conn tiss dis w CC"	48	1.2289	34.2	28.5	11.9
465	"Wnd debrid & skn grft exc hand, for musculo-conn tiss dis w/o CC/MCC"	6	1.1287	28.5	23.8	7.0
466	Revision of hip or knee replacement w MCC	0	1.8964	40.0	33.3	12.5
467	Revision of hip or knee replacement w CC	1	1.8964	40.0	33.3	6.1
468	Revision of hip or knee replacement w/o CC/MCC	0	0.5008	16.2	13.5	4.0
469	Major joint replacement or reattachment of lower extremity w MCC	0	0.9145	24.2	20.2	10.4
470	Major joint replacement or reattachment of lower extremity w/o MCC	0	0.5008	16.2	13.5	4.1
471	Cervical spinal fusion w MCC	0	0.965	26.5	22.1	14.9
472	Cervical spinal fusion w CC	0	0.8304	23.5	19.6	5.2
473	Cervical spinal fusion w/o CC/MCC	0	0.8304	23.5	19.6	2.5
474	Amputation for musculoskeletal sys & conn tissue dis w MCC	24	1.8964	40.0	33.3	18.0
475	Amputation for musculoskeletal sys & conn tissue dis w CC	7	1.1287	28.5	23.8	11.1
476	Amputation for musculoskeletal sys & conn tissue dis w/o CC/MCC	0	1.1287	28.5	23.8	5.9
477	Biopsies of musculoskeletal system & connective tissue w MCC	11	1.8964	40.0	33.3	15.8
478	Biopsies of musculoskeletal system & connective tissue w CC	1	0.8613	23.1	19.3	10.3
479	Biopsies of musculoskeletal system & connective tissue w/o CC/MCC	0	0.8613	23.1	19.3	6.8
480	Hip & femur procedures except major joint w MCC	4	1.1287	28.5	23.8	11.5
481	Hip & femur procedures except major joint w CC	0	1.1287	28.5	23.8	6.8
482	Hip & femur procedures except major joint w/o CC/MCC	0	1.1287	28.5	23.8	5.4
483	Major joint/limb reattachment procedure of upper extremities	0	0.9145	24.2	20.2	3.2
485	Knee procedures w pdx of infection w MCC	2	1.1287	28.5	23.8	14.1
486	Knee procedures w pdx of infection w CC	0	1.1287	28.5	23.8	8.7
487	Knee procedures w pdx of infection w/o CC/MCC	0	1.1287	28.5	23.8	6.3
488	Knee procedures w/o pdx of infection w CC/MCC	0	0.8409	25.3	21.1	6.1
489	Knee procedures w/o pdx of infection w/o CC/MCC	0	0.6798	20.5	17.1	3.6
492	"Lower extrem & humer proc except hip,foot,femur w MCC"	3	0.8613	23.1	19.3	12.0
493	"Lower extrem & humer proc except hip,foot,femur w CC"	3	0.8613	23.1	19.3	7.1
494	"Lower extrem & humer proc except hip,foot,femur w/o CC/MCC"	0	0.8613	23.1	19.3	4.7
495	Local excision & removal int fix devices exc hip & femur w MCC	44	1.3319	37.2	31.0	15.5
496	Local excision & removal int fix devices exc hip & femur w CC	3	1.1287	28.5	23.8	8.1
497	Local excision & removal int fix devices exc hip & femur w/o CC/MCC	0	1.1287	28.5	23.8	3.9
498	Local excision & removal int fix devices of hip & femur w CC/MCC	5	1.8964	40.0	33.3	11.4
499	Local excision & removal int fix devices of hip & femur w/o CC/MCC	0	1.1287	28.5	23.8	4.3
500	Soft tissue procedures w MCC	115	1.3052	33.9	28.3	16.0
501	Soft tissue procedures w CC	22	0.8613	23.1	19.3	8.4
502	Soft tissue procedures w/o CC/MCC	1	0.5008	16.2	13.5	4.6
503	Foot procedures w MCC	14	1.1287	28.5	23.8	13.0
504	Foot procedures w CC	2	1.1287	28.5	23.8	9.1
505	Foot procedures w/o CC/MCC	1	0.6798	20.5	17.1	5.4
506	Major thumb or joint procedures	0	1.8964	40.0	33.3	7.3
507	Major shoulder or elbow joint procedures w CC/MCC	1	1.8964	40.0	33.3	8.6
508	Major shoulder or elbow joint procedures w/o CC/MCC	0	1.8964	40.0	33.3	4.2
509	Arthroscopy	0	0.5008	16.2	13.5	7.6
510	"Shoulder,elbow or forearm proc,exc major joint proc w MCC"	0	1.3475	32.9	27.4	9.3
511	"Shoulder,elbow or forearm proc,exc major joint proc w CC"	0	1.1287	28.5	23.8	5.9
512	"Shoulder,elbow or forearm proc,exc major joint proc w/o CC/MCC"	0	1.1287	28.5	23.8	3.8
513	"Hand or wrist proc, except major thumb or joint proc w CC/MCC"	1	1.8964	40.0	33.3	8.1
514	"Hand or wrist proc, except major thumb or joint proc w/o CC/MCC"	0	1.8964	40.0	33.3	4.3
515	Other musculoskelet sys & conn tiss O.R. proc w MCC	25	1.3475	32.9	27.4	13.5
516	Other musculoskelet sys & conn tiss O.R. proc w CC	3	1.1287	28.5	23.8	8.2
517	Other musculoskelet sys & conn tiss O.R. proc w/o CC/MCC	0	1.1287	28.5	23.8	5.0
518	Back & neck proc exc spinal fusion w MCC or disc device/neurostim	1	1.8964	40.0	33.3	9.2
519	Back & neck proc exc spinal fusion w CC	0	0.8304	23.5	19.6	6.4
520	Back & neck proc exc spinal fusion w/o CC/MCC	0	0.8304	23.5	19.6	3.4
533	Fractures of femur w MCC	1	0.5008	16.2	13.5	8.7
534	Fractures of femur w/o MCC	0	0.5008	16.2	13.5	5.4
535	Fractures of hip & pelvis w MCC	2	0.8613	23.1	19.3	7.8
536	Fractures of hip & pelvis w/o MCC	0	0.5008	16.2	13.5	5.1
537	"Sprains, strains, & dislocations of hip, pelvis & thigh w CC/MCC"	0	0.8613	23.1	19.3	6.1
538	"Sprains, strains, & dislocations of hip, pelvis & thigh w/o CC/MCC"	0	0.5008	16.2	13.5	4.3
539	Osteomyelitis w MCC	768	1.1367	29.9	24.9	13.0
540	Osteomyelitis w CC	135	0.8409	25.3	21.1	9.2
541	Osteomyelitis w/o CC/MCC	10	0.6798	20.5	17.1	7.2
542	Pathological fractures & musculoskelet & conn tiss malig w MCC	9	1.1287	28.5	23.8	11.8
543	Pathological fractures & musculoskelet & conn tiss malig w CC	2	0.5008	16.2	13.5	7.6
544	Pathological fractures & musculoskelet & conn tiss malig w/o CC/MCC	0	0.5008	16.2	13.5	5.3
545	Connective tissue disorders w MCC	18	1.1287	28.5	23.8	13.6
546	Connective tissue disorders w CC	5	1.1287	28.5	23.8	7.4
547	Connective tissue disorders w/o CC/MCC	0	0.5008	16.2	13.5	4.9
548	Septic arthritis w MCC	105	0.965	26.5	22.1	11.7
549	Septic arthritis w CC	34	0.8304	23.5	19.6	8.2
550	Septic arthritis w/o CC/MCC	3	0.8304	23.5	19.6	5.8
551	Medical back problems w MCC	76	1.1322	30.3	25.3	9.4
552	Medical back problems w/o MCC	13	0.6798	20.5	17.1	5.7
553	Bone diseases & arthropathies w MCC	5	0.8613	23.1	19.3	8.2
554	Bone diseases & arthropathies w/o MCC	0	0.5008	16.2	13.5	5.2
555	Signs & symptoms of musculoskeletal system & conn tissue w MCC	7	0.8613	23.1	19.3	7.9
556	Signs & symptoms of musculoskeletal system & conn tissue w/o MCC	1	0.5008	16.2	13.5	5.0
557	"Tendonitis, myositis & bursitis w MCC"	108	0.9901	25.2	21.0	9.0
558	"Tendonitis, myositis & bursitis w/o MCC"	52	0.7205	24.6	20.5	5.8
559	"Aftercare, musculoskeletal system & connective tissue w MCC"	721	0.9395	26.2	21.8	10.6
560	"Aftercare, musculoskeletal system & connective tissue w CC"	239	0.7605	24.9	20.8	6.7
561	"Aftercare, musculoskeletal system & connective tissue w/o CC/MCC"	20	0.7605	24.9	20.8	4.2
562	"Fx, sprn, strn & disl except femur, hip, pelvis & thigh w MCC"	0	0.5008	16.2	13.5	8.0
563	"Fx, sprn, strn & disl except femur, hip, pelvis & thigh w/o MCC"	1	0.5008	16.2	13.5	5.2
564	Other musculoskeletal sys & connective tissue diagnoses w MCC	162	0.9145	24.2	20.2	10.1
565	Other musculoskeletal sys & connective tissue diagnoses w CC	29	0.712	22.3	18.6	6.7
566	Other musculoskeletal sys & connective tissue diagnoses w/o CC/MCC	3	0.5008	16.2	13.5	5.0
570	Skin debridement w MCC	325	1.3477	34.2	28.5	14.0
571	Skin debridement w CC	28	1.0633	27.0	22.5	9.2
572	Skin debridement w/o CC/MCC	3	0.6798	20.5	17.1	6.7
573	Skin graft for skin ulcer or cellulitis w MCC	80	1.8085	45.2	37.7	19.7
574	Skin graft for skin ulcer or cellulitis w CC	7	1.8085	45.2	37.7	14.8
575	Skin graft for skin ulcer or cellulitis w/o CC/MCC	0	0.6798	20.5	17.1	8.5
576	Skin graft exc for skin ulcer or cellulitis w MCC	5	1.8964	40.0	33.3	20.2
577	Skin graft exc for skin ulcer or cellulitis w CC	2	0.8613	23.1	19.3	10.3
578	Skin graft exc for skin ulcer or cellulitis w/o CC/MCC	0	0.6798	20.5	17.1	5.5
579	"Other skin, subcut tiss & breast proc w MCC"	230	1.3912	34.1	28.4	14.3
580	"Other skin, subcut tiss & breast proc w CC"	7	1.3912	34.1	28.4	8.7
581	"Other skin, subcut tiss & breast proc w/o CC/MCC"	0	0.6798	20.5	17.1	4.6
582	Mastectomy for malignancy w CC/MCC	0	1.3912	34.1	28.4	4.6
583	Mastectomy for malignancy w/o CC/MCC	0	0.6798	20.5	17.1	2.8
584	"Breast biopsy, local excision & other breast procedures w CC/MCC"	0	0.5008	16.2	13.5	7.8
585	"Breast biopsy, local excision & other breast procedures w/o CC/MCC"	0	0.5008	16.2	13.5	3.9
592	Skin ulcers w MCC	778	0.933	25.6	21.3	10.0
593	Skin ulcers w CC	42	0.6503	20.4	17.0	7.5
594	Skin ulcers w/o CC/MCC	0	0.5008	16.2	13.5	5.9
595	Major skin disorders w MCC	18	1.1287	28.5	23.8	12.3
596	Major skin disorders w/o MCC	6	0.5008	16.2	13.5	7.1
597	Malignant breast disorders w MCC	3	0.8613	23.1	19.3	11.5
598	Malignant breast disorders w CC	0	0.5008	16.2	13.5	8.0
599	Malignant breast disorders w/o CC/MCC	0	0.5008	16.2	13.5	5.1
600	Non-malignant breast disorders w CC/MCC	3	1.1287	28.5	23.8	7.0
601	Non-malignant breast disorders w/o CC/MCC	0	0.5008	16.2	13.5	4.9
602	Cellulitis w MCC	352	0.8023	22.4	18.7	9.4
603	Cellulitis w/o MCC	170	0.5814	18.2	15.2	6.2
604	"Trauma to the skin, subcut tiss & breast w MCC"	16	0.8613	23.1	19.3	8.2
605	"Trauma to the skin, subcut tiss & breast w/o MCC"	11	0.8613	23.1	19.3	5.0
606	Minor skin disorders w MCC	39	1.1383	25.5	21.3	9.4
607	Minor skin disorders w/o MCC	12	0.6798	20.5	17.1	5.6
614	Adrenal & pituitary procedures w CC/MCC	0	1.6511	34.5	28.8	8.6
615	Adrenal & pituitary procedures w/o CC/MCC	0	1.6511	34.5	28.8	3.4
616	"Amputat of lower limb for endocrine,nutrit,& metabol dis w MCC"	34	1.3271	34.4	28.7	19.3
617	"Amputat of lower limb for endocrine,nutrit,& metabol dis w CC"	15	1.1287	28.5	23.8	10.9
618	"Amputat of lower limb for endocrine,nutrit,& metabol dis w/o CC/MCC"	0	1.1287	28.5	23.8	7.3
619	O.R. procedures for obesity w MCC	0	1.4664	34.0	28.3	9.2
620	O.R. procedures for obesity w CC	0	0.8613	23.1	19.3	4.2
621	O.R. procedures for obesity w/o CC/MCC	0	0.6314	19.9	16.6	2.6
622	"Skin grafts & wound debrid for endoc, nutrit & metab dis w MCC"	120	1.3594	32.6	27.2	19.0
623	"Skin grafts & wound debrid for endoc, nutrit & metab dis w CC"	75	1.0216	29.3	24.4	10.5
624	"Skin grafts & wound debrid for endoc, nutrit & metab dis w/o CC/MCC"	0	0.5008	16.2	13.5	6.6
625	"Thyroid, parathyroid & thyroglossal procedures w MCC"	0	1.6511	34.5	28.8	12.4
626	"Thyroid, parathyroid & thyroglossal procedures w CC"	0	1.6511	34.5	28.8	5.4
627	"Thyroid, parathyroid & thyroglossal procedures w/o CC/MCC"	0	0.6314	19.9	16.6	5.8
628	"Other endocrine, nutrit & metab O.R. proc w MCC"	37	1.6511	34.5	28.8	15.8
629	"Other endocrine, nutrit & metab O.R. proc w CC"	22	1.6511	34.5	28.8	11.0
630	"Other endocrine, nutrit & metab O.R. proc w/o CC/MCC"	0	0.6314	19.9	16.6	5.8
637	Diabetes w MCC	340	1.0294	26.7	22.3	8.2
638	Diabetes w CC	226	0.7689	24.3	20.3	5.6
639	Diabetes w/o CC/MCC	0	0.5961	19.6	16.3	3.9
640	"Misc disorders of nutrition,metabolism,fluids/electrolytes w MCC"	204	0.8464	23.4	19.5	7.1
641	"Misc disorders of nutrition,metabolism,fluids/electrolytes w/o MCC"	83	0.5961	19.6	16.3	5.1
642	Inborn and other disorders of metabolism	0	0.7689	24.3	20.3	6.9
643	Endocrine disorders w MCC	15	1.1287	28.5	23.8	10.0
644	Endocrine disorders w CC	4	0.6798	20.5	17.1	6.9
645	Endocrine disorders w/o CC/MCC	1	0.6798	20.5	17.1	5.1
652	Kidney transplant	0	0	0.0	0.0	0.0
653	Major bladder procedures w MCC	0	1.1287	28.5	23.8	22.3
654	Major bladder procedures w CC	0	0.8613	23.1	19.3	11.7
655	Major bladder procedures w/o CC/MCC	0	0.8613	23.1	19.3	7.9
656	Kidney & ureter procedures for neoplasm w MCC	0	0.8613	23.1	19.3	13.7
657	Kidney & ureter procedures for neoplasm w CC	0	0.8613	23.1	19.3	7.5
658	Kidney & ureter procedures for neoplasm w/o CC/MCC	0	0.8613	23.1	19.3	4.0
659	Kidney & ureter procedures for non-neoplasm w MCC	5	1.8964	40.0	33.3	16.3
660	Kidney & ureter procedures for non-neoplasm w CC	2	0.8613	23.1	19.3	8.5
661	Kidney & ureter procedures for non-neoplasm w/o CC/MCC	0	0.8613	23.1	19.3	4.0
662	Minor bladder procedures w MCC	2	0.8613	23.1	19.3	15.7
663	Minor bladder procedures w CC	0	0.6746	21.8	18.2	8.2
664	Minor bladder procedures w/o CC/MCC	0	0.6798	20.5	17.1	3.7
665	Prostatectomy w MCC	2	1.1287	28.5	23.8	16.8
666	Prostatectomy w CC	0	1.1287	28.5	23.8	10.2
667	Prostatectomy w/o CC/MCC	0	1.1287	28.5	23.8	4.4
668	Transurethral procedures w MCC	6	1.1287	28.5	23.8	13.4
669	Transurethral procedures w CC	1	1.1287	28.5	23.8	6.3
670	Transurethral procedures w/o CC/MCC	0	1.1287	28.5	23.8	4.1
671	Urethral procedures w CC/MCC	0	1.4337	32.0	26.7	8.4
672	Urethral procedures w/o CC/MCC	0	0.6798	20.5	17.1	4.0
673	Other kidney & urinary tract procedures w MCC	142	1.4337	32.0	26.7	17.0
674	Other kidney & urinary tract procedures w CC	19	0.8613	23.1	19.3	11.1
675	Other kidney & urinary tract procedures w/o CC/MCC	1	0.6798	20.5	17.1	5.1
682	Renal failure w MCC	"1,561"	0.9454	23.3	19.4	9.5
683	Renal failure w CC	299	0.7385	21.4	17.8	6.4
684	Renal failure w/o CC/MCC	20	0.5008	16.2	13.5	4.3
685	Admit for renal dialysis	11	1.1287	28.5	23.8	5.8
686	Kidney & urinary tract neoplasms w MCC	3	0.8613	23.1	19.3	11.3
687	Kidney & urinary tract neoplasms w CC	0	0.6746	21.8	18.2	7.3
688	Kidney & urinary tract neoplasms w/o CC/MCC	0	0.6798	20.5	17.1	4.0
689	Kidney & urinary tract infections w MCC	328	0.7091	20.5	17.1	7.5
690	Kidney & urinary tract infections w/o MCC	131	0.4872	17.1	14.3	5.6
691	Urinary stones w esw lithotripsy w CC/MCC	0	1.4337	32.0	26.7	6.3
692	Urinary stones w esw lithotripsy w/o CC/MCC	0	0.5008	16.2	13.5	3.5
693	Urinary stones w/o esw lithotripsy w MCC	4	0.6798	20.5	17.1	7.9
694	Urinary stones w/o esw lithotripsy w/o MCC	1	0.5008	16.2	13.5	3.7
695	Kidney & urinary tract signs & symptoms w MCC	0	1.8964	40.0	33.3	8.2
696	Kidney & urinary tract signs & symptoms w/o MCC	2	1.8964	40.0	33.3	4.8
697	Urethral stricture	0	0.6798	20.5	17.1	5.2
698	Other kidney & urinary tract diagnoses w MCC	187	0.94	23.7	19.8	9.8
699	Other kidney & urinary tract diagnoses w CC	40	0.6746	21.8	18.2	6.8
700	Other kidney & urinary tract diagnoses w/o CC/MCC	0	0.6798	20.5	17.1	5.0
707	Major male pelvic procedures w CC/MCC	0	0.8613	23.1	19.3	5.7
708	Major male pelvic procedures w/o CC/MCC	0	0.8613	23.1	19.3	2.2
709	Penis procedures w CC/MCC	3	1.1287	28.5	23.8	11.2
710	Penis procedures w/o CC/MCC	1	0.8613	23.1	19.3	3.3
711	Testes procedures w CC/MCC	8	1.8964	40.0	33.3	12.1
712	Testes procedures w/o CC/MCC	0	1.1287	28.5	23.8	5.1
713	Transurethral prostatectomy w CC/MCC	0	1.1287	28.5	23.8	8.0
714	Transurethral prostatectomy w/o CC/MCC	0	1.1287	28.5	23.8	2.9
715	Other male reproductive system O.R. proc for malignancy w CC/MCC	0	1.1287	28.5	23.8	11.9
716	Other male reproductive system O.R. proc for malignancy w/o CC/MCC	0	0.6798	20.5	17.1	2.8
717	Other male reproductive system O.R. proc exc malignancy w CC/MCC	9	1.1287	28.5	23.8	9.0
718	Other male reproductive system O.R. proc exc malignancy w/o CC/MCC	0	0.6798	20.5	17.1	4.8
722	"Malignancy, male reproductive system w MCC"	0	1.1287	28.5	23.8	11.3
723	"Malignancy, male reproductive system w CC"	0	1.1287	28.5	23.8	7.5
724	"Malignancy, male reproductive system w/o CC/MCC"	0	0.6798	20.5	17.1	4.5
725	Benign prostatic hypertrophy w MCC	1	0.6798	20.5	17.1	9.0
726	Benign prostatic hypertrophy w/o MCC	0	0.6798	20.5	17.1	5.1
727	Inflammation of the male reproductive system w MCC	22	0.6798	20.5	17.1	9.3
728	Inflammation of the male reproductive system w/o MCC	9	0.6798	20.5	17.1	5.8
729	Other male reproductive system diagnoses w CC/MCC	57	0.8408	24.3	20.3	7.4
730	Other male reproductive system diagnoses w/o CC/MCC	0	0.6798	20.5	17.1	4.4
734	"Pelvic evisceration, rad hysterectomy & rad vulvectomy w CC/MCC"	0	1.8964	40.0	33.3	11.2
735	"Pelvic evisceration, rad hysterectomy & rad vulvectomy w/o CC/MCC"	0	1.8964	40.0	33.3	3.3
736	Uterine & adnexa proc for ovarian or adnexal malignancy w MCC	0	1.8964	40.0	33.3	17.9
737	Uterine & adnexa proc for ovarian or adnexal malignancy w CC	0	1.1287	28.5	23.8	8.6
738	Uterine & adnexa proc for ovarian or adnexal malignancy w/o CC/MCC	0	0.6798	20.5	17.1	5.0
739	"Uterine,adnexa proc for non-ovarian/adnexal malig w MCC"	0	1.6511	34.5	28.8	15.2
740	"Uterine,adnexa proc for non-ovarian/adnexal malig w CC"	0	1.6511	34.5	28.8	6.6
741	"Uterine,adnexa proc for non-ovarian/adnexal malig w/o CC/MCC"	0	0.6314	19.9	16.6	3.2
742	Uterine & adnexa proc for non-malignancy w CC/MCC	0	1.8964	40.0	33.3	6.3
743	Uterine & adnexa proc for non-malignancy w/o CC/MCC	0	1.8964	40.0	33.3	2.9
744	"D&C, conization, laparoscopy & tubal interruption w CC/MCC"	0	0.5008	16.2	13.5	8.7
745	"D&C, conization, laparoscopy & tubal interruption w/o CC/MCC"	0	0.5008	16.2	13.5	3.8
746	"Vagina, cervix & vulva procedures w CC/MCC"	2	1.8964	40.0	33.3	7.7
747	"Vagina, cervix & vulva procedures w/o CC/MCC"	0	0.6798	20.5	17.1	2.9
748	Female reproductive system reconstructive procedures	0	1.8964	40.0	33.3	3.1
749	Other female reproductive system O.R. procedures w CC/MCC	3	1.8964	40.0	33.3	13.5
750	Other female reproductive system O.R. procedures w/o CC/MCC	0	0.6798	20.5	17.1	4.7
754	"Malignancy, female reproductive system w MCC"	4	0.5008	16.2	13.5	12.6
755	"Malignancy, female reproductive system w CC"	0	0.5008	16.2	13.5	7.6
756	"Malignancy, female reproductive system w/o CC/MCC"	0	0.5008	16.2	13.5	4.2
757	"Infections, female reproductive system w MCC"	63	0.8511	24.1	20.1	10.3
758	"Infections, female reproductive system w CC"	11	0.6798	20.5	17.1	7.8
759	"Infections, female reproductive system w/o CC/MCC"	2	0.5008	16.2	13.5	5.3
760	Menstrual & other female reproductive system disorders w CC/MCC	2	1.8964	40.0	33.3	5.6
761	Menstrual & other female reproductive system disorders w/o CC/MCC	0	0.6798	20.5	17.1	3.1
765	Cesarean section w CC/MCC	0	0.5008	16.2	13.5	6.6
766	Cesarean section w/o CC/MCC	0	0.5008	16.2	13.5	4.0
767	Vaginal delivery w sterilization &/or D&C	0	0.5008	16.2	13.5	4.3
768	Vaginal delivery w O.R. proc except steril &/or D&C	0	0.5008	16.2	13.5	3.1
769	Postpartum & post abortion diagnoses w O.R. procedure	1	1.8964	40.0	33.3	9.4
770	"Abortion w D&C, aspiration curettage or hysterotomy"	0	0.8511	24.1	20.1	4.0
774	Vaginal delivery w complicating diagnoses	0	0.5008	16.2	13.5	4.4
775	Vaginal delivery w/o complicating diagnoses	0	0.5008	16.2	13.5	3.1
776	Postpartum & post abortion diagnoses w/o O.R. procedure	1	0.6798	20.5	17.1	4.8
777	Ectopic pregnancy	0	0.5008	16.2	13.5	3.5
778	Threatened abortion	0	0.5008	16.2	13.5	4.6
779	Abortion w/o D&C	0	0.5008	16.2	13.5	3.4
780	False labor	0	0.5008	16.2	13.5	4.0
781	Other antepartum diagnoses w medical complications	0	0.5008	16.2	13.5	6.2
782	Other antepartum diagnoses w/o medical complications	0	0.5008	16.2	13.5	3.7
789	"Neonates, died or transferred to another acute care facility"	0	0.5008	16.2	13.5	1.8
790	"Extreme immaturity or respiratory distress syndrome, neonate"	0	0.5008	16.2	13.5	17.9
791	Prematurity w major problems	0	0.5008	16.2	13.5	13.3
792	Prematurity w/o major problems	0	0.5008	16.2	13.5	8.6
793	Full term neonate w major problems	0	0.5008	16.2	13.5	4.7
794	Neonate w other significant problems	0	0.5008	16.2	13.5	3.4
795	Normal newborn	0	0.5008	16.2	13.5	3.1
799	Splenectomy w MCC	0	1.4664	34.0	28.3	18.3
800	Splenectomy w CC	0	0.8613	23.1	19.3	11.0
801	Splenectomy w/o CC/MCC	0	0.8613	23.1	19.3	5.1
802	Other O.R. proc of the blood & blood forming organs w MCC	2	1.8964	40.0	33.3	16.4
803	Other O.R. proc of the blood & blood forming organs w CC	0	0.5008	16.2	13.5	9.1
804	Other O.R. proc of the blood & blood forming organs w/o CC/MCC	0	0.5008	16.2	13.5	4.6
808	Major hematol/immun diag exc sickle cell crisis & coagul w MCC	19	0.8613	23.1	19.3	12.4
809	Major hematol/immun diag exc sickle cell crisis & coagul w CC	5	0.5008	16.2	13.5	7.3
810	Major hematol/immun diag exc sickle cell crisis & coagul w/o CC/MCC	0	0.5008	16.2	13.5	5.3
811	Red blood cell disorders w MCC	24	0.8613	23.1	19.3	7.9
812	Red blood cell disorders w/o MCC	4	0.8613	23.1	19.3	5.5
813	Coagulation disorders	22	1.1287	28.5	23.8	8.1
814	Reticuloendothelial & immunity disorders w MCC	20	0.6798	20.5	17.1	10.3
815	Reticuloendothelial & immunity disorders w CC	4	0.6798	20.5	17.1	6.3
816	Reticuloendothelial & immunity disorders w/o CC/MCC	0	0.5008	16.2	13.5	4.5
820	Lymphoma & leukemia w major O.R. procedure w MCC	0	1.1287	28.5	23.8	23.8
821	Lymphoma & leukemia w major O.R. procedure w CC	0	1.1287	28.5	23.8	10.5
822	Lymphoma & leukemia w major O.R. procedure w/o CC/MCC	0	1.1287	28.5	23.8	3.9
823	Lymphoma & non-acute leukemia w other O.R. proc w MCC	0	1.1287	28.5	23.8	22.8
824	Lymphoma & non-acute leukemia w other O.R. proc w CC	0	1.1287	28.5	23.8	12.5
825	Lymphoma & non-acute leukemia w other O.R. proc w/o CC/MCC	0	1.1287	28.5	23.8	6.2
826	Myeloprolif disord or poorly diff neopl w maj O.R. proc w MCC	0	1.8964	40.0	33.3	22.4
827	Myeloprolif disord or poorly diff neopl w maj O.R. proc w CC	0	1.1287	28.5	23.8	10.4
