"TABLE 11.--- MS-LTC-DRGS, RELATIVE WEIGHTS, GEOMETRIC AVERAGE LENGTH OF STAY, SHORT-STAY                               OUTLIER (SSO) THRESHOLD, AND “IPPS COMPARABLE THRESHOLD” FOR DISCHARGES OCCURRING FROM                             OCTOBER 1, 2015 THROUGH SEPTEMBER 30, 2016 UNDER THE LTCH PPS - CORRECTED"						
MS-LTC-DRG	MS-LTC-DRG Title	FY 2014 LTCH Cases1	 Relative Weight	Geometric Average Length of Stay	 Short-Stay Outlier (SSO) Threshold2	IPPS Comparable Threshold3
409	Biliary tract proc except only cholecyst w or w/o c.d.e. w CC	0	0.5268	17.5	14.6	12.0
410	Biliary tract proc except only cholecyst w or w/o c.d.e. w/o CC/MCC	0	0.5268	17.5	14.6	7.9
411	Cholecystectomy w c.d.e. w MCC	0	1.6769	34.8	29.0	17.4
412	Cholecystectomy w c.d.e. w CC	0	0.5268	17.5	14.6	11.5
413	Cholecystectomy w c.d.e. w/o CC/MCC	0	0.5268	17.5	14.6	7.8
414	Cholecystectomy except by laparoscope w/o c.d.e. w MCC	0	0.8393	22.5	18.8	15.8
415	Cholecystectomy except by laparoscope w/o c.d.e. w CC	2	0.8393	22.5	18.8	9.7
416	Cholecystectomy except by laparoscope w/o c.d.e. w/o CC/MCC	0	0.5268	17.5	14.6	6.1
417	Laparoscopic cholecystectomy w/o c.d.e. w MCC	2	1.6769	34.8	29.0	11.4
418	Laparoscopic cholecystectomy w/o c.d.e. w CC	1	0.5268	17.5	14.6	7.3
419	Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC	0	0.5268	17.5	14.6	4.6
420	Hepatobiliary diagnostic procedures w MCC	0	0.8393	22.5	18.8	18.7
421	Hepatobiliary diagnostic procedures w CC	0	0.8393	22.5	18.8	8.6
422	Hepatobiliary diagnostic procedures w/o CC/MCC	0	0.5268	17.5	14.6	5.4
423	Other hepatobiliary or pancreas O.R. procedures w MCC	21	1.6769	34.8	29.0	21.7
424	Other hepatobiliary or pancreas O.R. procedures w CC	0	0.5268	17.5	14.6	12.8
425	Other hepatobiliary or pancreas O.R. procedures w/o CC/MCC	0	0.5268	17.5	14.6	7.8
432	Cirrhosis & alcoholic hepatitis w MCC	36	0.7254	20.5	17.1	9.8
433	Cirrhosis & alcoholic hepatitis w CC	1	0.5268	17.5	14.6	6.2
434	Cirrhosis & alcoholic hepatitis w/o CC/MCC	0	0.5268	17.5	14.6	4.1
435	Malignancy of hepatobiliary system or pancreas w MCC	16	1.1274	26.4	22.0	10.7
436	Malignancy of hepatobiliary system or pancreas w CC	4	0.6711	19.8	16.5	7.7
437	Malignancy of hepatobiliary system or pancreas w/o CC/MCC	0	0.6047	20.2	16.8	5.3
438	Disorders of pancreas except malignancy w MCC	157	1.0871	24.2	20.2	10.8
439	Disorders of pancreas except malignancy w CC	25	0.7616	21.6	18.0	6.6
440	Disorders of pancreas except malignancy w/o CC/MCC	2	0.5268	17.5	14.6	4.7
441	"Disorders of liver except malig,cirr,alc hepa w MCC"	138	0.8125	21.1	17.6	10.9
442	"Disorders of liver except malig,cirr,alc hepa w CC"	22	0.6711	19.8	16.5	6.6
443	"Disorders of liver except malig,cirr,alc hepa w/o CC/MCC"	2	0.5268	17.5	14.6	4.7
444	Disorders of the biliary tract w MCC	99	1.0413	24.4	20.3	9.4
445	Disorders of the biliary tract w CC	18	0.8393	22.5	18.8	6.3
446	Disorders of the biliary tract w/o CC/MCC	1	0.5268	17.5	14.6	4.3
453	Combined anterior/posterior spinal fusion w MCC	0	0.9533	25.8	21.5	17.5
454	Combined anterior/posterior spinal fusion w CC	0	0.8064	24.5	20.4	8.6
455	Combined anterior/posterior spinal fusion w/o CC/MCC	0	0.6711	19.8	16.5	5.1
456	Spinal fus exc cerv w spinal curv/malig/infec or ext fus w MCC	0	0.9557	25.5	21.3	18.2
457	Spinal fus exc cerv w spinal curv/malig/infec or ext fus w CC	0	0.8283	25.0	20.8	9.6
458	Spinal fus exc cerv w spinal curv/malig/infec or ext fus w/o CC/MCC	0	0.6711	19.8	16.5	5.5
459	Spinal fusion except cervical w MCC	0	1.0659	24.3	20.3	12.7
460	Spinal fusion except cervical w/o MCC	0	0.5268	17.5	14.6	5.2
461	Bilateral or multiple major joint procs of lower extremity w MCC	0	1.6769	34.8	29.0	12.3
462	Bilateral or multiple major joint procs of lower extremity w/o MCC	0	1.6769	34.8	29.0	4.6
463	"Wnd debrid & skn grft exc hand, for musculo-conn tiss dis w MCC"	315	1.5715	38.6	32.2	21.3
464	"Wnd debrid & skn grft exc hand, for musculo-conn tiss dis w CC"	46	1.3050	35.1	29.3	12.0
465	"Wnd debrid & skn grft exc hand, for musculo-conn tiss dis w/o CC/MCC"	0	0.6711	19.8	16.5	7.2
466	Revision of hip or knee replacement w MCC	2	1.6769	34.8	29.0	12.2
467	Revision of hip or knee replacement w CC	0	0.7264	23.6	19.7	6.1
468	Revision of hip or knee replacement w/o CC/MCC	0	0.7264	23.6	19.7	4.1
469	Major joint replacement or reattachment of lower extremity w MCC	0	0.9416	24.3	20.3	10.4
470	Major joint replacement or reattachment of lower extremity w/o MCC	0	0.7264	23.6	19.7	4.3
471	Cervical spinal fusion w MCC	0	0.9557	25.5	21.3	14.5
472	Cervical spinal fusion w CC	0	0.8283	25.0	20.8	5.2
473	Cervical spinal fusion w/o CC/MCC	0	0.6711	19.8	16.5	2.6
474	Amputation for musculoskeletal sys & conn tissue dis w MCC	45	1.6444	36.2	30.2	17.6
475	Amputation for musculoskeletal sys & conn tissue dis w CC	6	0.8393	22.5	18.8	11.5
476	Amputation for musculoskeletal sys & conn tissue dis w/o CC/MCC	0	0.8393	22.5	18.8	6.1
477	Biopsies of musculoskeletal system & connective tissue w MCC	14	1.6769	34.8	29.0	15.9
478	Biopsies of musculoskeletal system & connective tissue w CC	3	1.6769	34.8	29.0	10.4
479	Biopsies of musculoskeletal system & connective tissue w/o CC/MCC	0	0.8393	22.5	18.8	6.9
480	Hip & femur procedures except major joint w MCC	3	1.6769	34.8	29.0	11.5
481	Hip & femur procedures except major joint w CC	1	1.6769	34.8	29.0	6.8
482	Hip & femur procedures except major joint w/o CC/MCC	0	0.8393	22.5	18.8	5.5
483	Major joint/limb reattachment procedure of upper extremities	0	0.9416	24.3	20.3	3.4
485	Knee procedures w pdx of infection w MCC*	2	1.1274	26.4	22.0	14.8
486	Knee procedures w pdx of infection w CC*	2	1.1274	26.4	22.0	9.1
487	Knee procedures w pdx of infection w/o CC/MCC	0	1.1003	29.0	24.2	6.6
488	Knee procedures w/o pdx of infection w CC/MCC	0	0.8948	28.1	23.4	6.4
489	Knee procedures w/o pdx of infection w/o CC/MCC	0	0.8393	22.5	18.8	3.7
492	"Lower extrem & humer proc except hip,foot,femur w MCC"	3	1.6769	34.8	29.0	11.8
493	"Lower extrem & humer proc except hip,foot,femur w CC"	1	1.6769	34.8	29.0	6.9
494	"Lower extrem & humer proc except hip,foot,femur w/o CC/MCC"	0	0.8393	22.5	18.8	4.7
495	Local excision & removal int fix devices exc hip & femur w MCC*	43	1.5947	37.6	31.3	14.9
496	Local excision & removal int fix devices exc hip & femur w CC*	3	1.5947	37.6	31.3	8.0
497	Local excision & removal int fix devices exc hip & femur w/o CC/MCC*	0	0.8393	22.5	18.8	4.0
498	Local excision & removal int fix devices of hip & femur w CC/MCC	2	1.1274	26.4	22.0	11.6
499	Local excision & removal int fix devices of hip & femur w/o CC/MCC	0	0.8393	22.5	18.8	4.1
500	Soft tissue procedures w MCC	121	1.3350	33.8	28.2	16.1
501	Soft tissue procedures w CC	12	1.1274	26.4	22.0	8.5
502	Soft tissue procedures w/o CC/MCC	0	0.8393	22.5	18.8	4.5
503	Foot procedures w MCC	12	1.1274	26.4	22.0	12.6
504	Foot procedures w CC	0	0.8393	22.5	18.8	9.1
505	Foot procedures w/o CC/MCC	0	0.8393	22.5	18.8	5.3
506	Major thumb or joint procedures	0	0.8393	22.5	18.8	6.9
507	Major shoulder or elbow joint procedures w CC/MCC	2	0.8393	22.5	18.8	8.4
508	Major shoulder or elbow joint procedures w/o CC/MCC	0	0.8393	22.5	18.8	4.1
509	Arthroscopy	0	0.5268	17.5	14.6	7.8
510	"Shoulder,elbow or forearm proc,exc major joint proc w MCC"	1	1.1274	26.4	22.0	9.2
511	"Shoulder,elbow or forearm proc,exc major joint proc w CC"	0	1.1274	26.4	22.0	5.8
512	"Shoulder,elbow or forearm proc,exc major joint proc w/o CC/MCC"	0	0.8393	22.5	18.8	3.7
513	"Hand or wrist proc, except major thumb or joint proc w CC/MCC"	0	0.8393	22.5	18.8	7.8
514	"Hand or wrist proc, except major thumb or joint proc w/o CC/MCC"	0	0.8393	22.5	18.8	4.3
515	Other musculoskelet sys & conn tiss O.R. proc w MCC	27	1.6023	35.2	29.3	14.1
516	Other musculoskelet sys & conn tiss O.R. proc w CC	3	0.6711	19.8	16.5	8.3
517	Other musculoskelet sys & conn tiss O.R. proc w/o CC/MCC	0	0.6711	19.8	16.5	5.1
518	Back & neck proc exc spinal fusion w MCC or disc device/neurostim	2	1.6769	34.8	29.0	9.7
519	Back & neck proc exc spinal fusion w CC	0	0.8283	25.0	20.8	6.3
520	Back & neck proc exc spinal fusion w/o CC/MCC	0	0.6711	19.8	16.5	3.4
533	Fractures of femur w MCC	0	1.6769	34.8	29.0	9.7
534	Fractures of femur w/o MCC	0	0.5268	17.5	14.6	5.3
535	Fractures of hip & pelvis w MCC	0	1.6769	34.8	29.0	8.0
536	Fractures of hip & pelvis w/o MCC	0	0.5268	17.5	14.6	5.1
537	"Sprains, strains, & dislocations of hip, pelvis & thigh w CC/MCC"	0	0.5268	17.5	14.6	6.0
538	"Sprains, strains, & dislocations of hip, pelvis & thigh w/o CC/MCC"	0	0.5268	17.5	14.6	4.4
539	Osteomyelitis w MCC	701	1.1003	29.0	24.2	12.4
540	Osteomyelitis w CC	152	0.8948	28.1	23.4	9.2
541	Osteomyelitis w/o CC/MCC	8	0.8393	22.5	18.8	6.7
542	Pathological fractures & musculoskelet & conn tiss malig w MCC	9	1.6769	34.8	29.0	12.1
543	Pathological fractures & musculoskelet & conn tiss malig w CC	4	0.5268	17.5	14.6	7.7
544	Pathological fractures & musculoskelet & conn tiss malig w/o CC/MCC	0	0.5268	17.5	14.6	5.3
545	Connective tissue disorders w MCC	22	1.1274	26.4	22.0	13.6
546	Connective tissue disorders w CC	9	0.6711	19.8	16.5	7.5
547	Connective tissue disorders w/o CC/MCC	0	0.5268	17.5	14.6	5.0
548	Septic arthritis w MCC	115	0.9557	25.5	21.3	12.0
549	Septic arthritis w CC	38	0.8283	25.0	20.8	8.3
550	Septic arthritis w/o CC/MCC	1	0.6711	19.8	16.5	5.6
551	Medical back problems w MCC	62	1.0659	24.3	20.3	9.4
552	Medical back problems w/o MCC	8	0.5268	17.5	14.6	5.7
553	Bone diseases & arthropathies w MCC	4	1.1274	26.4	22.0	8.3
554	Bone diseases & arthropathies w/o MCC	0	0.5268	17.5	14.6	5.3
555	Signs & symptoms of musculoskeletal system & conn tissue w MCC	5	1.1274	26.4	22.0	8.0
556	Signs & symptoms of musculoskeletal system & conn tissue w/o MCC	3	0.6711	19.8	16.5	4.9
557	"Tendonitis, myositis & bursitis w MCC"	86	0.8785	24.2	20.2	9.2
558	"Tendonitis, myositis & bursitis w/o MCC"	49	0.6793	21.7	18.1	5.9
559	"Aftercare, musculoskeletal system & connective tissue w MCC"	649	0.9533	25.8	21.5	11.4
560	"Aftercare, musculoskeletal system & connective tissue w CC"	218	0.8064	24.5	20.4	6.8
561	"Aftercare, musculoskeletal system & connective tissue w/o CC/MCC"	16	0.6711	19.8	16.5	4.0
562	"Fx, sprn, strn & disl except femur, hip, pelvis & thigh w MCC"	1	0.5268	17.5	14.6	8.2
563	"Fx, sprn, strn & disl except femur, hip, pelvis & thigh w/o MCC"	0	0.5268	17.5	14.6	5.2
564	Other musculoskeletal sys & connective tissue diagnoses w MCC	164	0.9416	24.3	20.3	9.7
565	Other musculoskeletal sys & connective tissue diagnoses w CC*	32	0.7264	23.6	19.7	6.7
566	Other musculoskeletal sys & connective tissue diagnoses w/o CC/MCC*	3	0.7264	23.6	19.7	4.7
570	Skin debridement w MCC	314	1.2206	31.9	26.6	14.2
571	Skin debridement w CC	28	0.8144	25.1	20.9	9.5
572	Skin debridement w/o CC/MCC	3	0.6711	19.8	16.5	6.9
573	Skin graft for skin ulcer or cellulitis w MCC	79	2.2133	49.4	41.2	20.8
574	Skin graft for skin ulcer or cellulitis w CC	6	1.1274	26.4	22.0	15.1
575	Skin graft for skin ulcer or cellulitis w/o CC/MCC	0	0.6711	19.8	16.5	9.0
576	Skin graft exc for skin ulcer or cellulitis w MCC	3	1.6769	34.8	29.0	22.5
577	Skin graft exc for skin ulcer or cellulitis w CC	2	1.6769	34.8	29.0	10.5
578	Skin graft exc for skin ulcer or cellulitis w/o CC/MCC	0	0.6711	19.8	16.5	5.7
579	"Other skin, subcut tiss & breast proc w MCC"	220	1.4018	33.9	28.3	14.5
580	"Other skin, subcut tiss & breast proc w CC"	11	1.1274	26.4	22.0	8.6
581	"Other skin, subcut tiss & breast proc w/o CC/MCC"	0	0.6711	19.8	16.5	4.4
582	Mastectomy for malignancy w CC/MCC	0	1.1274	26.4	22.0	4.4
583	Mastectomy for malignancy w/o CC/MCC	0	0.6711	19.8	16.5	2.7
584	"Breast biopsy, local excision & other breast procedures w CC/MCC"	2	1.1274	26.4	22.0	8.2
585	"Breast biopsy, local excision & other breast procedures w/o CC/MCC"	0	0.5268	17.5	14.6	3.9
592	Skin ulcers w MCC	826	0.9496	25.5	21.3	10.1
593	Skin ulcers w CC	39	0.7005	20.1	16.8	7.8
594	Skin ulcers w/o CC/MCC	3	0.5268	17.5	14.6	5.7
595	Major skin disorders w MCC	19	1.1274	26.4	22.0	11.9
596	Major skin disorders w/o MCC	4	0.5268	17.5	14.6	7.0
597	Malignant breast disorders w MCC	2	0.8393	22.5	18.8	11.5
598	Malignant breast disorders w CC	1	0.5268	17.5	14.6	7.6
599	Malignant breast disorders w/o CC/MCC	0	0.5268	17.5	14.6	4.5
600	Non-malignant breast disorders w CC/MCC	12	1.1274	26.4	22.0	7.1
601	Non-malignant breast disorders w/o CC/MCC	0	0.5268	17.5	14.6	5.0
602	Cellulitis w MCC	351	0.8004	22.0	18.3	9.5
603	Cellulitis w/o MCC	180	0.5780	17.9	14.9	6.3
604	"Trauma to the skin, subcut tiss & breast w MCC"	3	1.1274	26.4	22.0	8.2
605	"Trauma to the skin, subcut tiss & breast w/o MCC"	4	0.8393	22.5	18.8	5.0
606	Minor skin disorders w MCC	31	1.2493	24.8	20.7	9.4
607	Minor skin disorders w/o MCC	8	0.8393	22.5	18.8	5.5
614	Adrenal & pituitary procedures w CC/MCC	0	1.4072	34.5	28.8	8.5
615	Adrenal & pituitary procedures w/o CC/MCC	0	1.4072	34.5	28.8	3.7
616	"Amputat of lower limb for endocrine,nutrit,& metabol dis w MCC"	27	1.5538	38.3	31.9	19.3
617	"Amputat of lower limb for endocrine,nutrit,& metabol dis w CC"	22	1.1274	26.4	22.0	10.9
618	"Amputat of lower limb for endocrine,nutrit,& metabol dis w/o CC/MCC"	0	0.8393	22.5	18.8	7.4
619	O.R. procedures for obesity w MCC	0	1.5995	34.0	28.3	8.7
620	O.R. procedures for obesity w CC	0	0.8393	22.5	18.8	4.4
621	O.R. procedures for obesity w/o CC/MCC	0	0.7084	21.3	17.8	2.7
622	"Skin grafts & wound debrid for endoc, nutrit & metab dis w MCC"	94	1.3912	34.3	28.6	18.3
623	"Skin grafts & wound debrid for endoc, nutrit & metab dis w CC"	77	1.0329	30.4	25.3	10.5
624	"Skin grafts & wound debrid for endoc, nutrit & metab dis w/o CC/MCC"	1	0.8393	22.5	18.8	7.0
625	"Thyroid, parathyroid & thyroglossal procedures w MCC"	0	1.4072	34.5	28.8	12.3
626	"Thyroid, parathyroid & thyroglossal procedures w CC"	1	0.8393	22.5	18.8	4.9
627	"Thyroid, parathyroid & thyroglossal procedures w/o CC/MCC"	0	0.8393	22.5	18.8	2.1
628	"Other endocrine, nutrit & metab O.R. proc w MCC*"	35	1.4072	34.5	28.8	16.1
629	"Other endocrine, nutrit & metab O.R. proc w CC*"	24	1.4072	34.5	28.8	11.1
630	"Other endocrine, nutrit & metab O.R. proc w/o CC/MCC*"	0	0.7084	21.3	17.8	6.2
637	Diabetes w MCC	331	0.9992	25.5	21.3	8.4
638	Diabetes w CC	242	0.7895	23.7	19.8	5.7
639	Diabetes w/o CC/MCC	0	0.6291	20.7	17.3	3.9
640	"Misc disorders of nutrition,metabolism,fluids/electrolytes w MCC"	239	0.8582	22.0	18.3	7.1
641	"Misc disorders of nutrition,metabolism,fluids/electrolytes w/o MCC"	74	0.6291	20.7	17.3	5.1
642	Inborn and other disorders of metabolism	0	0.7895	23.7	19.8	7.2
643	Endocrine disorders w MCC	16	0.6711	19.8	16.5	10.5
644	Endocrine disorders w CC	4	0.5268	17.5	14.6	7.1
645	Endocrine disorders w/o CC/MCC	0	0.5268	17.5	14.6	5.1
652	Kidney transplant	0	0.0000	0.0	0.0	0.0
653	Major bladder procedures w MCC	0	1.1274	26.4	22.0	22.0
654	Major bladder procedures w CC	0	0.8393	22.5	18.8	11.9
655	Major bladder procedures w/o CC/MCC	0	0.8393	22.5	18.8	8.4
656	Kidney & ureter procedures for neoplasm w MCC	0	0.8393	22.5	18.8	14.0
657	Kidney & ureter procedures for neoplasm w CC	0	0.6711	19.8	16.5	7.6
658	Kidney & ureter procedures for neoplasm w/o CC/MCC	0	0.6711	19.8	16.5	4.3
659	Kidney & ureter procedures for non-neoplasm w MCC	5	1.1274	26.4	22.0	16.4
660	Kidney & ureter procedures for non-neoplasm w CC	1	0.8393	22.5	18.8	8.8
661	Kidney & ureter procedures for non-neoplasm w/o CC/MCC	0	0.8393	22.5	18.8	4.1
662	Minor bladder procedures w MCC	0	0.9254	23.9	19.9	16.3
663	Minor bladder procedures w CC	0	0.6328	19.1	15.9	8.7
664	Minor bladder procedures w/o CC/MCC	0	0.6328	19.1	15.9	3.8
665	Prostatectomy w MCC	1	1.1274	26.4	22.0	17.4
666	Prostatectomy w CC	0	1.1274	26.4	22.0	10.6
667	Prostatectomy w/o CC/MCC	0	1.1274	26.4	22.0	4.6
668	Transurethral procedures w MCC	3	1.6769	34.8	29.0	13.5
669	Transurethral procedures w CC	3	1.1274	26.4	22.0	6.5
670	Transurethral procedures w/o CC/MCC	0	1.1274	26.4	22.0	4.0
671	Urethral procedures w CC/MCC	0	1.4616	31.8	26.5	8.8
672	Urethral procedures w/o CC/MCC	0	0.6328	19.1	15.9	3.6
673	Other kidney & urinary tract procedures w MCC	118	1.4616	31.8	26.5	17.2
674	Other kidney & urinary tract procedures w CC	27	1.2966	30.2	25.2	11.6
675	Other kidney & urinary tract procedures w/o CC/MCC	0	0.6328	19.1	15.9	5.2
682	Renal failure w MCC	"1,437"	0.9538	23.2	19.3	9.6
683	Renal failure w CC	311	0.7378	20.5	17.1	6.6
684	Renal failure w/o CC/MCC	17	0.6711	19.8	16.5	4.4
685	Admit for renal dialysis	10	1.6769	34.8	29.0	5.9
686	Kidney & urinary tract neoplasms w MCC	4	0.8393	22.5	18.8	11.3
687	Kidney & urinary tract neoplasms w CC	1	0.6711	19.8	16.5	7.0
688	Kidney & urinary tract neoplasms w/o CC/MCC	0	0.6328	19.1	15.9	4.2
689	Kidney & urinary tract infections w MCC	350	0.6695	20.8	17.3	7.6
690	Kidney & urinary tract infections w/o MCC	114	0.5136	17.9	14.9	5.6
691	Urinary stones w esw lithotripsy w CC/MCC	0	1.4616	31.8	26.5	5.8
692	Urinary stones w esw lithotripsy w/o CC/MCC	0	0.5268	17.5	14.6	3.5
693	Urinary stones w/o esw lithotripsy w MCC	3	0.5268	17.5	14.6	7.8
694	Urinary stones w/o esw lithotripsy w/o MCC	2	0.5268	17.5	14.6	3.7
695	Kidney & urinary tract signs & symptoms w MCC	3	0.6711	19.8	16.5	8.3
696	Kidney & urinary tract signs & symptoms w/o MCC	0	0.6328	19.1	15.9	4.9
697	Urethral stricture	0	0.6328	19.1	15.9	5.6
698	Other kidney & urinary tract diagnoses w MCC	206	0.9254	23.9	19.9	9.7
699	Other kidney & urinary tract diagnoses w CC*	48	0.6328	19.1	15.9	6.8
700	Other kidney & urinary tract diagnoses w/o CC/MCC*	2	0.6328	19.1	15.9	5.0
707	Major male pelvic procedures w CC/MCC	0	1.2966	30.2	25.2	5.9
708	Major male pelvic procedures w/o CC/MCC	0	1.2966	30.2	25.2	2.3
709	Penis procedures w CC/MCC	5	0.8393	22.5	18.8	9.7
710	Penis procedures w/o CC/MCC	0	0.8393	22.5	18.8	3.5
711	Testes procedures w CC/MCC	7	1.6769	34.8	29.0	12.0
712	Testes procedures w/o CC/MCC	0	0.8393	22.5	18.8	4.6
713	Transurethral prostatectomy w CC/MCC	0	1.1274	26.4	22.0	7.6
714	Transurethral prostatectomy w/o CC/MCC	0	1.1274	26.4	22.0	2.9
715	Other male reproductive system O.R. proc for malignancy w CC/MCC	0	0.6711	19.8	16.5	11.7
716	Other male reproductive system O.R. proc for malignancy w/o CC/MCC	0	0.6328	19.1	15.9	2.9
717	Other male reproductive system O.R. proc exc malignancy w CC/MCC	14	1.1274	26.4	22.0	10.1
718	Other male reproductive system O.R. proc exc malignancy w/o CC/MCC	0	0.6328	19.1	15.9	3.8
722	"Malignancy, male reproductive system w MCC"	1	0.5268	17.5	14.6	11.9
723	"Malignancy, male reproductive system w CC"	0	0.5268	17.5	14.6	7.6
724	"Malignancy, male reproductive system w/o CC/MCC"	0	0.5268	17.5	14.6	4.5
725	Benign prostatic hypertrophy w MCC	0	0.5268	17.5	14.6	9.0
726	Benign prostatic hypertrophy w/o MCC	0	0.5268	17.5	14.6	5.1
727	Inflammation of the male reproductive system w MCC	26	1.0841	24.5	20.4	9.7
728	Inflammation of the male reproductive system w/o MCC	12	0.8393	22.5	18.8	5.9
729	Other male reproductive system diagnoses w CC/MCC	48	0.8646	25.3	21.1	7.4
730	Other male reproductive system diagnoses w/o CC/MCC	2	0.5268	17.5	14.6	4.4
734	"Pelvic evisceration, rad hysterectomy & rad vulvectomy w CC/MCC"	0	1.6769	34.8	29.0	10.5
735	"Pelvic evisceration, rad hysterectomy & rad vulvectomy w/o CC/MCC"	0	1.6769	34.8	29.0	3.3
736	Uterine & adnexa proc for ovarian or adnexal malignancy w MCC	0	1.6769	34.8	29.0	19.4
737	Uterine & adnexa proc for ovarian or adnexal malignancy w CC	0	0.5268	17.5	14.6	8.9
738	Uterine & adnexa proc for ovarian or adnexal malignancy w/o CC/MCC	0	0.5268	17.5	14.6	5.0
739	"Uterine,adnexa proc for non-ovarian/adnexal malig w MCC"	0	1.4072	34.5	28.8	14.7
740	"Uterine,adnexa proc for non-ovarian/adnexal malig w CC"	0	1.4072	34.5	28.8	6.7
741	"Uterine,adnexa proc for non-ovarian/adnexal malig w/o CC/MCC"	0	0.7084	21.3	17.8	3.2
742	Uterine & adnexa proc for non-malignancy w CC/MCC	0	1.6769	34.8	29.0	6.2
743	Uterine & adnexa proc for non-malignancy w/o CC/MCC	0	1.6769	34.8	29.0	2.9
744	"D&C, conization, laparoscopy & tubal interruption w CC/MCC"	0	0.8393	22.5	18.8	9.3
745	"D&C, conization, laparoscopy & tubal interruption w/o CC/MCC"	0	0.5268	17.5	14.6	3.6
746	"Vagina, cervix & vulva procedures w CC/MCC"	0	0.8393	22.5	18.8	7.7
747	"Vagina, cervix & vulva procedures w/o CC/MCC"	0	0.5268	17.5	14.6	2.8
748	Female reproductive system reconstructive procedures	0	1.6769	34.8	29.0	2.8
749	Other female reproductive system O.R. procedures w CC/MCC	3	1.6769	34.8	29.0	13.8
750	Other female reproductive system O.R. procedures w/o CC/MCC	0	0.5268	17.5	14.6	4.9
754	"Malignancy, female reproductive system w MCC"	7	0.8393	22.5	18.8	13.0
755	"Malignancy, female reproductive system w CC"	2	0.5268	17.5	14.6	7.8
756	"Malignancy, female reproductive system w/o CC/MCC"	0	0.5268	17.5	14.6	4.4
757	"Infections, female reproductive system w MCC"	38	0.7980	21.7	18.1	9.9
758	"Infections, female reproductive system w CC"	11	0.6711	19.8	16.5	7.8
759	"Infections, female reproductive system w/o CC/MCC"	0	0.6711	19.8	16.5	5.8
760	Menstrual & other female reproductive system disorders w CC/MCC	3	0.5268	17.5	14.6	5.6
761	Menstrual & other female reproductive system disorders w/o CC/MCC	0	0.5268	17.5	14.6	3.3
765	Cesarean section w CC/MCC	0	0.8393	22.5	18.8	6.6
766	Cesarean section w/o CC/MCC	0	0.5268	17.5	14.6	4.0
767	Vaginal delivery w sterilization &/or D&C	0	0.8393	22.5	18.8	5.1
768	Vaginal delivery w O.R. proc except steril &/or D&C	0	0.8393	22.5	18.8	6.4
769	Postpartum & post abortion diagnoses w O.R. procedure	0	0.8393	22.5	18.8	10.8
770	"Abortion w D&C, aspiration curettage or hysterotomy"	0	0.7980	21.7	18.1	3.6
774	Vaginal delivery w complicating diagnoses	0	0.8393	22.5	18.8	4.3
775	Vaginal delivery w/o complicating diagnoses	0	0.5268	17.5	14.6	3.1
776	Postpartum & post abortion diagnoses w/o O.R. procedure	0	0.5268	17.5	14.6	4.8
777	Ectopic pregnancy	0	0.8393	22.5	18.8	3.4
778	Threatened abortion	0	0.5268	17.5	14.6	4.4
779	Abortion w/o D&C	0	0.5268	17.5	14.6	3.3
780	False labor	0	0.5268	17.5	14.6	1.3
781	Other antepartum diagnoses w medical complications	1	1.1274	26.4	22.0	6.1
782	Other antepartum diagnoses w/o medical complications	0	0.5268	17.5	14.6	3.4
789	"Neonates, died or transferred to another acute care facility"	0	0.5268	17.5	14.6	2.0
790	"Extreme immaturity or respiratory distress syndrome, neonate"	0	0.8393	22.5	18.8	17.9
791	Prematurity w major problems	0	0.8393	22.5	18.8	13.3
792	Prematurity w/o major problems	0	0.5268	17.5	14.6	8.6
793	Full term neonate w major problems	0	0.5268	17.5	14.6	12.0
794	Neonate w other significant problems	0	0.5268	17.5	14.6	2.0
795	Normal newborn	0	0.5268	17.5	14.6	3.1
799	Splenectomy w MCC	0	1.5995	34.0	28.3	18.5
800	Splenectomy w CC	0	0.8393	22.5	18.8	10.6
801	Splenectomy w/o CC/MCC	0	0.8393	22.5	18.8	5.5
802	Other O.R. proc of the blood & blood forming organs w MCC	1	1.6769	34.8	29.0	17.9
803	Other O.R. proc of the blood & blood forming organs w CC	2	1.1274	26.4	22.0	9.5
804	Other O.R. proc of the blood & blood forming organs w/o CC/MCC	0	1.1274	26.4	22.0	4.6
808	Major hematol/immun diag exc sickle cell crisis & coagul w MCC	21	1.1274	26.4	22.0	12.8
809	Major hematol/immun diag exc sickle cell crisis & coagul w CC	2	0.8393	22.5	18.8	7.4
810	Major hematol/immun diag exc sickle cell crisis & coagul w/o CC/MCC	0	0.6711	19.8	16.5	5.1
811	Red blood cell disorders w MCC	18	0.8393	22.5	18.8	7.7
812	Red blood cell disorders w/o MCC	7	0.6711	19.8	16.5	5.5
813	Coagulation disorders	15	0.8393	22.5	18.8	8.1
814	Reticuloendothelial & immunity disorders w MCC	11	1.1274	26.4	22.0	10.3
815	Reticuloendothelial & immunity disorders w CC*	1	1.1274	26.4	22.0	6.4
816	Reticuloendothelial & immunity disorders w/o CC/MCC	1	1.1274	26.4	22.0	4.4
820	Lymphoma & leukemia w major O.R. procedure w MCC	0	1.1274	26.4	22.0	22.0
821	Lymphoma & leukemia w major O.R. procedure w CC	0	1.1274	26.4	22.0	10.7
822	Lymphoma & leukemia w major O.R. procedure w/o CC/MCC	0	1.1274	26.4	22.0	4.1
