"TABLE 11.—  MS-LTC-DRGS, RELATIVE WEIGHTS, GEOMETRIC AVERAGE LENGTH OF STAY, SHORT-STAY OUTLIER (SSO) THRESHOLD FOR DISCHARGES OCCURRING FROM OCTOBER 1, 2021 THROUGH SEPTEMBER 30, 2022 UNDER THE LTCH PPS"					
MS-LTC-DRG	MS-LTC-DRG Title	FY 2019 LTCH Cases1	Relative Weight	Geometric Average Length of Stay	Short-Stay Outlier (SSO) Threshold2
446	Disorders of the biliary tract without CC/MCC	1	0.5193	16.9	14.1
453	Combined anterior and posterior spinal fusion with MCC	1	1.7482	36.8	30.7
454	Combined anterior and posterior spinal fusion with CC	0	0.8857	24.8	20.7
455	Combined anterior and posterior spinal fusion without CC/MCC	0	0.8857	24.8	20.7
456	"Spinal fusion except cervical with spinal curvature, malignancy, infection or extensive fusions with MCC"	0	1.0136	24.5	20.4
457	"Spinal fusion except cervical with spinal curvature, malignancy, infection or extensive fusions with CC"	0	0.8857	24.8	20.7
458	"Spinal fusion except cervical with spinal curvature, malignancy, infection or extensive fusions without CC/MCC"	0	0.8857	24.8	20.7
459	Spinal fusion except cervical with MCC	0	1.0136	24.5	20.4
460	Spinal fusion except cervical without MCC	0	0.8857	24.8	20.7
461	Bilateral or multiple major joint procedures of lower extremity with MCC	0	1.0136	24.5	20.4
462	Bilateral or multiple major joint procedures of lower extremity without MCC	0	0.8857	24.8	20.7
463	Wound debridement and skin graft except hand for musculoskeletal and connective tissue disorders with MCC	379	1.5554	37.7	31.4
464	Wound debridement and skin graft except hand for musculoskeletal and connective tissue disorders with CC	57	1.1761	33.2	27.7
465	Wound debridement and skin graft except hand for musculoskeletal and connective tissue disorders without CC/MCC	3	0.6374	19.3	16.1
466	Revision of hip or knee replacement with MCC	3	1.7482	36.8	30.7
467	Revision of hip or knee replacement with CC	0	0.8857	24.8	20.7
468	Revision of hip or knee replacement without CC/MCC	0	0.8857	24.8	20.7
469	Major hip and knee joint replacement or reattachment of lower extremity with MCC or total ankle replacement	0	1.6613	40.4	33.7
470	Major hip and knee joint replacement or reattachment of lower extremity without MCC	0	0.8857	24.8	20.7
471	Cervical spinal fusion with MCC	0	1.0136	24.5	20.4
472	Cervical spinal fusion with CC	0	0.8857	24.8	20.7
473	Cervical spinal fusion without CC/MCC	0	0.8857	24.8	20.7
474	Amputation for musculoskeletal system and connective tissue disorders with MCC	30	1.6613	40.4	33.7
475	Amputation for musculoskeletal system and connective tissue disorders with CC*	3	1.6613	40.4	33.7
476	Amputation for musculoskeletal system and connective tissue disorders without CC/MCC*	2	0.8548	23.6	19.7
477	Biopsies of musculoskeletal system and connective tissue with MCC	9	1.7482	36.8	30.7
478	Biopsies of musculoskeletal system and connective tissue with CC	2	0.8548	23.6	19.7
479	Biopsies of musculoskeletal system and connective tissue without CC/MCC	0	0.8548	23.6	19.7
480	Hip and femur procedures except major joint with MCC	2	1.7482	36.8	30.7
481	Hip and femur procedures except major joint with CC	0	1.7482	36.8	30.7
482	Hip and femur procedures except major joint without CC/MCC	0	1.7482	36.8	30.7
483	Major joint or limb reattachment procedures of upper extremities	1	0.6374	19.3	16.1
485	Knee procedures with principal diagnosis of infection with MCC	3	1.0152	25.2	21.0
486	Knee procedures with principal diagnosis of infection with CC	0	1.0152	25.2	21.0
487	Knee procedures with principal diagnosis of infection without CC/MCC	0	1.0152	25.2	21.0
488	Knee procedures without principal diagnosis of infection with CC/MCC	0	1.7482	36.8	30.7
489	Knee procedures without principal diagnosis of infection without CC/MCC	0	1.7482	36.8	30.7
492	"Lower extremity and humerus procedures except hip, foot and femur with MCC"	6	1.7482	36.8	30.7
493	"Lower extremity and humerus procedures except hip, foot and femur with CC"	3	0.8548	23.6	19.7
494	"Lower extremity and humerus procedures except hip, foot and femur without CC/MCC"	0	0.8548	23.6	19.7
495	Local excision and removal of internal fixation devices except hip and femur with MCC	0	1.7482	36.8	30.7
496	Local excision and removal of internal fixation devices except hip and femur with CC	0	0.8548	23.6	19.7
497	Local excision and removal of internal fixation devices except hip and femur without CC/MCC	0	0.8548	23.6	19.7
498	Local excision and removal of internal fixation devices of hip and femur with CC/MCC	5	1.7482	36.8	30.7
499	Local excision and removal of internal fixation devices of hip and femur without CC/MCC	0	1.7482	36.8	30.7
500	Soft tissue procedures with MCC	160	1.2701	34.3	28.6
501	Soft tissue procedures with CC*	9	1.2701	34.3	28.6
502	Soft tissue procedures without CC/MCC*	1	0.5193	16.9	14.1
503	Foot procedures with MCC*	8	1.0152	25.2	21.0
504	Foot procedures with CC*	3	1.0152	25.2	21.0
505	Foot procedures without CC/MCC	0	1.0152	25.2	21.0
506	Major thumb or joint procedures	0	0.5193	16.9	14.1
507	Major shoulder or elbow joint procedures with CC/MCC	1	0.5193	16.9	14.1
508	Major shoulder or elbow joint procedures without CC/MCC	0	0.5193	16.9	14.1
509	Arthroscopy	0	0.5193	16.9	14.1
510	"Shoulder, elbow or forearm procedures, except major joint procedures with MCC"	1	0.6374	19.3	16.1
511	"Shoulder, elbow or forearm procedures, except major joint procedures with CC"	0	0.6374	19.3	16.1
512	"Shoulder, elbow or forearm procedures, except major joint procedures without CC/MCC"	0	0.6374	19.3	16.1
513	"Hand or wrist procedures, except major thumb or joint procedures with CC/MCC"	5	0.8548	23.6	19.7
514	"Hand or wrist procedures, except major thumb or joint procedures without CC/MCC"	0	0.8548	23.6	19.7
515	Other musculoskeletal system and connective tissue O.R. procedures with MCC	41	1.4226	31.7	26.4
516	Other musculoskeletal system and connective tissue O.R. procedures with CC	2	0.6374	19.3	16.1
517	Other musculoskeletal system and connective tissue O.R. procedures without CC/MCC	0	0.6374	19.3	16.1
518	Back and neck procedures except spinal fusion with MCC or disc device or neurostimulator	2	1.7482	36.8	30.7
519	Back and neck procedures except spinal fusion with CC	0	0.8857	24.8	20.7
520	Back and neck procedures except spinal fusion without CC/MCC	0	0.8857	24.8	20.7
521	Hip replacement with principal diagnosis of hip fracture with MCC	0	0.8857	24.8	20.7
522	Hip replacement with principal diagnosis of hip fracture without MCC	0	0.8857	24.8	20.7
533	Fractures of femur with MCC	1	1.0152	25.2	21.0
534	Fractures of femur without MCC	0	1.0152	25.2	21.0
535	Fractures of hip and pelvis with MCC	7	1.0152	25.2	21.0
536	Fractures of hip and pelvis without MCC	1	0.5193	16.9	14.1
537	"Sprains, strains, and dislocations of hip, pelvis and thigh with CC/MCC"	0	1.0152	25.2	21.0
538	"Sprains, strains, and dislocations of hip, pelvis and thigh without CC/MCC"	0	0.5193	16.9	14.1
539	Osteomyelitis with MCC	816	1.0867	29.2	24.3
540	Osteomyelitis with CC	123	0.853	26.7	22.3
541	Osteomyelitis without CC/MCC	10	0.6374	19.3	16.1
542	Pathological fractures and musculoskeletal and connective tissue malignancy with MCC	2	1.0152	25.2	21.0
543	Pathological fractures and musculoskeletal and connective tissue malignancy with CC	4	0.5193	16.9	14.1
544	Pathological fractures and musculoskeletal and connective tissue malignancy without CC/MCC	0	0.5193	16.9	14.1
545	Connective tissue disorders with MCC	12	1.0152	25.2	21.0
546	Connective tissue disorders with CC	3	0.5193	16.9	14.1
547	Connective tissue disorders without CC/MCC	1	0.5193	16.9	14.1
548	Septic arthritis with MCC	126	1.0021	25.1	20.9
549	Septic arthritis with CC	26	0.7236	23.3	19.4
550	Septic arthritis without CC/MCC	2	0.6374	19.3	16.1
551	Medical back problems with MCC	74	1.1538	27.7	23.1
552	Medical back problems without MCC	6	0.6374	19.3	16.1
553	Bone diseases and arthropathies with MCC	3	1.7482	36.8	30.7
554	Bone diseases and arthropathies without MCC	2	0.8548	23.6	19.7
555	Signs and symptoms of musculoskeletal system and connective tissue with MCC	4	1.0152	25.2	21.0
556	Signs and symptoms of musculoskeletal system and connective tissue without MCC	4	0.6374	19.3	16.1
557	"Tendonitis, myositis and bursitis with MCC"	138	1.0132	26	21.7
558	"Tendonitis, myositis and bursitis without MCC"	66	0.8235	25.7	21.4
559	"Aftercare, musculoskeletal system and connective tissue with MCC"	666	0.9123	24.5	20.4
560	"Aftercare, musculoskeletal system and connective tissue with CC"	234	0.755	24	20
561	"Aftercare, musculoskeletal system and connective tissue without CC/MCC"	18	0.6374	19.3	16.1
562	"Fracture, sprain, strain and dislocation except femur, hip, pelvis and thigh with MCC"	2	1.0152	25.2	21.0
563	"Fracture, sprain, strain and dislocation except femur, hip, pelvis and thigh without MCC"	0	1.0152	25.2	21.0
564	Other musculoskeletal system and connective tissue diagnoses with MCC	165	1.0136	24.5	20.4
565	Other musculoskeletal system and connective tissue diagnoses with CC	31	0.8857	24.8	20.7
566	Other musculoskeletal system and connective tissue diagnoses without CC/MCC*	2	0.8857	24.8	20.7
570	Skin debridement with MCC	315	1.4158	33.6	28
571	Skin debridement with CC	65	1.0579	30.8	25.7
572	Skin debridement without CC/MCC	2	0.8548	23.6	19.7
573	Skin graft for skin ulcer or cellulitis with MCC	48	1.8267	46	38.3
574	Skin graft for skin ulcer or cellulitis with CC	18	1.7482	36.8	30.7
575	Skin graft for skin ulcer or cellulitis without CC/MCC	1	1.0152	25.2	21.0
576	Skin graft except for skin ulcer or cellulitis with MCC	6	1.7482	36.8	30.7
577	Skin graft except for skin ulcer or cellulitis with CC	5	0.8548	23.6	19.7
578	Skin graft except for skin ulcer or cellulitis without CC/MCC	0	0.8548	23.6	19.7
579	"Other skin, subcutaneous tissue and breast procedures with MCC"	254	1.379	32.8	27.3
580	"Other skin, subcutaneous tissue and breast procedures with CC"	44	1.172	30.8	25.7
581	"Other skin, subcutaneous tissue and breast procedures without CC/MCC"	1	0.5193	16.9	14.1
582	Mastectomy for malignancy with CC/MCC	1	1.7482	36.8	30.7
583	Mastectomy for malignancy without CC/MCC	0	0.6374	19.3	16.1
584	"Breast biopsy, local excision and other breast procedures with CC/MCC"	1	1.0152	25.2	21.0
585	"Breast biopsy, local excision and other breast procedures without CC/MCC"	0	1.0152	25.2	21.0
592	Skin ulcers with MCC	606	0.968	26.7	22.3
593	Skin ulcers with CC	141	0.7203	23.8	19.8
594	Skin ulcers without CC/MCC*	3	0.7203	23.8	19.8
595	Major skin disorders with MCC	11	0.8548	23.6	19.7
596	Major skin disorders without MCC	5	0.5193	16.9	14.1
597	Malignant breast disorders with MCC	1	0.6374	19.3	16.1
598	Malignant breast disorders with CC	0	0.6374	19.3	16.1
599	Malignant breast disorders without CC/MCC	0	0.6374	19.3	16.1
600	Non-malignant breast disorders with CC/MCC	4	0.8548	23.6	19.7
601	Non-malignant breast disorders without CC/MCC	0	0.5193	16.9	14.1
602	Cellulitis with MCC	292	0.772	21.2	17.7
603	Cellulitis without MCC	142	0.5543	18.1	15.1
604	"Trauma to the skin, subcutaneous tissue and breast with MCC"	33	0.7795	24.1	20.1
605	"Trauma to the skin, subcutaneous tissue and breast without MCC"	16	0.6374	19.3	16.1
606	Minor skin disorders with MCC	56	1.0203	24.2	20.2
607	Minor skin disorders without MCC	7	0.8548	23.6	19.7
614	Adrenal and pituitary procedures with CC/MCC	0	0.8548	23.6	19.7
615	Adrenal and pituitary procedures without CC/MCC	0	0.8548	23.6	19.7
616	"Amputation of lower limb for endocrine, nutritional and metabolic disorders with MCC"	41	1.6744	38	31.7
617	"Amputation of lower limb for endocrine, nutritional and metabolic disorders with CC"	26	1.3149	36.4	30.3
618	"Amputation of lower limb for endocrine, nutritional and metabolic disorders without CC/MCC"	0	1.3149	36.4	30.3
619	O.R. procedures for obesity with MCC	0	0.8548	23.6	19.7
620	O.R. procedures for obesity with CC	0	0.8548	23.6	19.7
621	O.R. procedures for obesity without CC/MCC	0	0.8548	23.6	19.7
622	"Skin grafts and wound debridement for endocrine, nutritional and metabolic disorders with MCC"	234	1.3612	34	28.3
623	"Skin grafts and wound debridement for endocrine, nutritional and metabolic disorders with CC"	99	1.0435	29.2	24.3
624	"Skin grafts and wound debridement for endocrine, nutritional and metabolic disorders without CC/MCC"	0	0.8548	23.6	19.7
625	"Thyroid, parathyroid and thyroglossal procedures with MCC"	0	1.3677	32.1	26.8
626	"Thyroid, parathyroid and thyroglossal procedures with CC"	0	1.0152	25.2	21.0
627	"Thyroid, parathyroid and thyroglossal procedures without CC/MCC"	0	0.8387	22.5	18.8
628	"Other endocrine, nutritional and metabolic O.R. procedures with MCC"	29	1.3677	32.1	26.8
629	"Other endocrine, nutritional and metabolic O.R. procedures with CC"	21	1.0152	25.2	21.0
630	"Other endocrine, nutritional and metabolic O.R. procedures without CC/MCC"	0	0.8387	22.5	18.8
637	Diabetes with MCC	515	0.9933	25.5	21.3
638	Diabetes with CC	313	0.82	22.7	18.9
639	Diabetes without CC/MCC	4	0.5193	16.9	14.1
640	"Miscellaneous disorders of nutrition, metabolism, fluids and electrolytes with MCC"	271	0.917	23	19.2
641	"Miscellaneous disorders of nutrition, metabolism, fluids and electrolytes without MCC"	66	0.6518	19.1	15.9
642	Inborn and other disorders of metabolism	2	1.0152	25.2	21.0
643	Endocrine disorders with MCC	13	0.8548	23.6	19.7
644	Endocrine disorders with CC	8	0.6374	19.3	16.1
645	Endocrine disorders without CC/MCC	0	0.6374	19.3	16.1
650	Kidney transplant with hemodialysis with MCC	0	0	0	0
651	Kidney transplant with hemodialysis without MCC	0	0	0	0
652	Kidney transplant	0	0	0	0
653	Major bladder procedures with MCC	0	0.8548	23.6	19.7
654	Major bladder procedures with CC	0	0.8548	23.6	19.7
655	Major bladder procedures without CC/MCC	0	0.8548	23.6	19.7
656	Kidney and ureter procedures for neoplasm with MCC	1	1.0152	25.2	21.0
657	Kidney and ureter procedures for neoplasm with CC	0	0.8548	23.6	19.7
658	Kidney and ureter procedures for neoplasm without CC/MCC	0	0.8548	23.6	19.7
659	Kidney and ureter procedures for non-neoplasm with MCC	8	1.7482	36.8	30.7
660	Kidney and ureter procedures for non-neoplasm with CC	1	0.8548	23.6	19.7
661	Kidney and ureter procedures for non-neoplasm without CC/MCC	0	0.8548	23.6	19.7
662	Minor bladder procedures with MCC	1	1.0152	25.2	21.0
663	Minor bladder procedures with CC	0	0.8548	23.6	19.7
664	Minor bladder procedures without CC/MCC	0	0.8548	23.6	19.7
665	Prostatectomy with MCC	2	0.6374	19.3	16.1
666	Prostatectomy with CC	0	0.6374	19.3	16.1
667	Prostatectomy without CC/MCC	0	0.6374	19.3	16.1
668	Transurethral procedures with MCC	2	1.7482	36.8	30.7
669	Transurethral procedures with CC	1	1.0152	25.2	21.0
670	Transurethral procedures without CC/MCC	0	1.0152	25.2	21.0
671	Urethral procedures with CC/MCC	0	0.6374	19.3	16.1
672	Urethral procedures without CC/MCC	0	0.6374	19.3	16.1
673	Other kidney and urinary tract procedures with MCC	279	1.4245	31	25.8
674	Other kidney and urinary tract procedures with CC	41	1.057	24.9	20.8
675	Other kidney and urinary tract procedures without CC/MCC	0	0.6374	19.3	16.1
682	Renal failure with MCC	"1,155"	0.908	22.6	18.8
683	Renal failure with CC	210	0.73	20.7	17.3
684	Renal failure without CC/MCC	13	0.6374	19.3	16.1
686	Kidney and urinary tract neoplasms with MCC	3	1.0152	25.2	21.0
687	Kidney and urinary tract neoplasms with CC	1	0.5193	16.9	14.1
688	Kidney and urinary tract neoplasms without CC/MCC	0	0.5193	16.9	14.1
689	Kidney and urinary tract infections with MCC	390	0.726	20.3	16.9
690	Kidney and urinary tract infections without MCC	106	0.5391	17.7	14.8
693	Urinary stones with MCC	3	0.5193	16.9	14.1
694	Urinary stones without MCC	0	0.5193	16.9	14.1
695	Kidney and urinary tract signs and symptoms with MCC	0	0.5193	16.9	14.1
696	Kidney and urinary tract signs and symptoms without MCC	0	0.5193	16.9	14.1
697	Urethral stricture	0	0.8845	22.9	19.1
698	Other kidney and urinary tract diagnoses with MCC	231	0.8845	22.9	19.1
699	Other kidney and urinary tract diagnoses with CC	36	0.5688	18.5	15.4
700	Other kidney and urinary tract diagnoses without CC/MCC*	1	0.5688	18.5	15.4
707	Major male pelvic procedures with CC/MCC	1	0.8548	23.6	19.7
708	Major male pelvic procedures without CC/MCC	0	0.8548	23.6	19.7
709	Penis procedures with CC/MCC	1	1.7482	36.8	30.7
710	Penis procedures without CC/MCC	0	0.5688	18.5	15.4
711	Testes procedures with CC/MCC	3	1.7482	36.8	30.7
712	Testes procedures without CC/MCC	0	0.6374	19.3	16.1
713	Transurethral prostatectomy with CC/MCC	0	1.7482	36.8	30.7
714	Transurethral prostatectomy without CC/MCC	0	1.7482	36.8	30.7
715	Other male reproductive system O.R. procedures for malignancy with CC/MCC	0	0.6374	19.3	16.1
716	Other male reproductive system O.R. procedures for malignancy without CC/MCC	0	0.6374	19.3	16.1
717	Other male reproductive system O.R. procedures except malignancy with CC/MCC	24	1.7482	36.8	30.7
718	Other male reproductive system O.R. procedures except malignancy without CC/MCC	0	0.6374	19.3	16.1
722	"Malignancy, male reproductive system with MCC"	1	0.5193	16.9	14.1
723	"Malignancy, male reproductive system with CC"	0	0.5193	16.9	14.1
724	"Malignancy, male reproductive system without CC/MCC"	0	0.5193	16.9	14.1
725	Benign prostatic hypertrophy with MCC	0	0.5193	16.9	14.1
726	Benign prostatic hypertrophy without MCC	0	0.5193	16.9	14.1
727	Inflammation of the male reproductive system with MCC	48	0.7668	22.2	18.5
728	Inflammation of the male reproductive system without MCC	34	0.6066	20.8	17.3
729	Other male reproductive system diagnoses with CC/MCC	3	0.8548	23.6	19.7
730	Other male reproductive system diagnoses without CC/MCC	1	0.6374	19.3	16.1
734	"Pelvic evisceration, radical hysterectomy and radical vulvectomy with CC/MCC"	0	0.8548	23.6	19.7
735	"Pelvic evisceration, radical hysterectomy and radical vulvectomy without CC/MCC"	0	0.8548	23.6	19.7
736	Uterine and adnexa procedures for ovarian or adnexal malignancy with MCC	0	0.8548	23.6	19.7
737	Uterine and adnexa procedures for ovarian or adnexal malignancy with CC	0	0.8548	23.6	19.7
738	Uterine and adnexa procedures for ovarian or adnexal malignancy without CC/MCC	0	0.8548	23.6	19.7
739	Uterine and adnexa procedures for non-ovarian and non-adnexal malignancy with MCC	0	0.8548	23.6	19.7
740	Uterine and adnexa procedures for non-ovarian and non-adnexal malignancy with CC	0	0.8548	23.6	19.7
741	Uterine and adnexa procedures for non-ovarian and non-adnexal malignancy without CC/MCC	0	0.5193	16.9	14.1
742	Uterine and adnexa procedures for non-malignancy with CC/MCC	0	0.8548	23.6	19.7
743	Uterine and adnexa procedures for non-malignancy without CC/MCC	0	0.8548	23.6	19.7
744	"D&C, conization, laparoscopy and tubal interruption with CC/MCC"	0	1.0152	25.2	21.0
745	"D&C, conization, laparoscopy and tubal interruption without CC/MCC"	0	1.0152	25.2	21.0
746	"Vagina, cervix and vulva procedures with CC/MCC"	0	0.8548	23.6	19.7
747	"Vagina, cervix and vulva procedures without CC/MCC"	0	0.8548	23.6	19.7
748	Female reproductive system reconstructive procedures	0	0.8548	23.6	19.7
749	Other female reproductive system O.R. procedures with CC/MCC	4	0.8548	23.6	19.7
750	Other female reproductive system O.R. procedures without CC/MCC	0	0.8548	23.6	19.7
754	"Malignancy, female reproductive system with MCC"	2	1.0152	25.2	21.0
755	"Malignancy, female reproductive system with CC"	0	1.0152	25.2	21.0
756	"Malignancy, female reproductive system without CC/MCC"	0	1.0152	25.2	21.0
757	"Infections, female reproductive system with MCC"	41	0.8253	24.8	20.7
758	"Infections, female reproductive system with CC"	10	0.6374	19.3	16.1
759	"Infections, female reproductive system without CC/MCC"	2	0.6374	19.3	16.1
760	Menstrual and other female reproductive system disorders with CC/MCC	0	0.6374	19.3	16.1
761	Menstrual and other female reproductive system disorders without CC/MCC	0	0.6374	19.3	16.1
768	Vaginal delivery with O.R. procedures except sterilization and/or D&C	0	0.6374	19.3	16.1
769	Postpartum and post abortion diagnoses with O.R. procedures	0	0.6374	19.3	16.1
770	"Abortion with D&C, aspiration curettage or hysterotomy"	0	0.6374	19.3	16.1
776	Postpartum and post abortion diagnoses without O.R. procedures	0	0.6374	19.3	16.1
779	Abortion without D&C	0	0.6374	19.3	16.1
783	Cesarean section with sterilization with MCC	0	1.0152	25.2	21.0
784	Cesarean section with sterilization with CC	0	1.0152	25.2	21.0
785	Cesarean section with sterilization without CC/MCC	0	1.0152	25.2	21.0
786	Cesarean section without sterilization with MCC	0	1.0152	25.2	21.0
787	Cesarean section without sterilization with CC	0	1.0152	25.2	21.0
788	Cesarean section without sterilization without CC/MCC	0	1.0152	25.2	21.0
789	"Neonates, died or transferred to another acute care facility"	0	0.6374	19.3	16.1
790	"Extreme immaturity or respiratory distress syndrome, neonate"	0	0.6374	19.3	16.1
791	Prematurity with major problems	0	0.6374	19.3	16.1
792	Prematurity without major problems	0	0.6374	19.3	16.1
793	Full term neonate with major problems	0	0.6374	19.3	16.1
794	Neonate with other significant problems	0	0.6374	19.3	16.1
795	Normal newborn	0	0.6374	19.3	16.1
796	Vaginal delivery with sterilization and/or D&C with MCC	0	0.6374	19.3	16.1
797	Vaginal delivery with sterilization and/or D&C with CC	0	0.6374	19.3	16.1
798	Vaginal delivery with sterilization and/or D&C without CC/MCC	0	0.6374	19.3	16.1
799	Splenectomy with MCC	0	1.6086	35.2	29.3
800	Splenectomy with CC	0	0.8548	23.6	19.7
801	Splenectomy without CC/MCC	0	0.8548	23.6	19.7
802	Other O.R. procedures of the blood and blood forming organs with MCC	3	1.0152	25.2	21.0
803	Other O.R. procedures of the blood and blood forming organs with CC	0	1.0152	25.2	21.0
804	Other O.R. procedures of the blood and blood forming organs without CC/MCC	0	1.0152	25.2	21.0
805	Vaginal delivery without sterilization or D&C with MCC	0	1.0152	25.2	21.0
806	Vaginal delivery without sterilization or D&C with CC	0	1.0152	25.2	21.0
807	Vaginal delivery without sterilization or D&C without CC/MCC	0	1.0152	25.2	21.0
808	Major hematological and immunological diagnoses except sickle cell crisis and coagulation disorders with MCC	18	1.0152	25.2	21.0
809	Major hematological and immunological diagnoses except sickle cell crisis and coagulation disorders with CC	3	0.5193	16.9	14.1
810	Major hematological and immunological diagnoses except sickle cell crisis and coagulation disorders without CC/MCC	0	0.5193	16.9	14.1
811	Red blood cell disorders with MCC	55	0.8196	23.5	19.6
812	Red blood cell disorders without MCC	8	0.5193	16.9	14.1
813	Coagulation disorders	12	0.6374	19.3	16.1
814	Reticuloendothelial and immunity disorders with MCC*	3	0.8548	23.6	19.7
815	Reticuloendothelial and immunity disorders with CC*	2	0.8548	23.6	19.7
816	Reticuloendothelial and immunity disorders without CC/MCC	0	0.8548	23.6	19.7
817	Other antepartum diagnoses with O.R. procedures with MCC	0	0.6374	19.3	16.1
818	Other antepartum diagnoses with O.R. procedures with CC	0	0.6374	19.3	16.1
819	Other antepartum diagnoses with O.R. procedures without CC/MCC	0	0.6374	19.3	16.1
820	Lymphoma and leukemia with major O.R. procedures with MCC	0	1.0152	25.2	21.0
821	Lymphoma and leukemia with major O.R. procedures with CC	0	1.0152	25.2	21.0
822	Lymphoma and leukemia with major O.R. procedures without CC/MCC	0	1.0152	25.2	21.0
823	Lymphoma and non-acute leukemia with other procedures with MCC	0	1.0152	25.2	21.0
824	Lymphoma and non-acute leukemia with other procedures with CC	0	1.0152	25.2	21.0
825	Lymphoma and non-acute leukemia with other procedures without CC/MCC	0	1.0152	25.2	21.0
826	Myeloproliferative disorders or poorly differentiated neoplasms with major O.R. procedures with MCC	0	1.0152	25.2	21.0
827	Myeloproliferative disorders or poorly differentiated neoplasms with major O.R. procedures with CC	0	1.0152	25.2	21.0
828	Myeloproliferative disorders or poorly differentiated neoplasms with major O.R. procedures without CC/MCC	0	1.0152	25.2	21.0
829	Myeloproliferative disorders or poorly differentiated neoplasms with other procedures with CC/MCC	0	1.0152	25.2	21.0
830	Myeloproliferative disorders or poorly differentiated neoplasms with other procedures without CC/MCC	0	1.0152	25.2	21.0
831	Other antepartum diagnoses without O.R. procedures with MCC	0	0.6374	19.3	16.1
832	Other antepartum diagnoses without O.R. procedures with CC	0	0.6374	19.3	16.1
833	Other antepartum diagnoses without O.R. procedures without CC/MCC	0	0.6374	19.3	16.1
834	Acute leukemia without major O.R. procedures with MCC	6	0.8548	23.6	19.7
835	Acute leukemia without major O.R. procedures with CC	1	0.8548	23.6	19.7
836	Acute leukemia without major O.R. procedures without CC/MCC	1	0.5193	16.9	14.1
837	Chemotherapy with acute leukemia as secondary diagnosis or with high dose chemotherapy agent with MCC	0	0.5193	16.9	14.1
838	Chemotherapy with acute leukemia as secondary diagnosis with CC or high dose chemotherapy agent	1	0.5193	16.9	14.1
839	Chemotherapy with acute leukemia as secondary diagnosis without CC/MCC	0	0.5193	16.9	14.1
840	Lymphoma and non-acute leukemia with MCC	25	0.9263	22.1	18.4
841	Lymphoma and non-acute leukemia with CC	3	0.6374	19.3	16.1
842	Lymphoma and non-acute leukemia without CC/MCC	0	0.6374	19.3	16.1
843	Other myeloproliferative disorders or poorly differentiated neoplastic diagnoses with MCC	3	0.8548	23.6	19.7
844	Other myeloproliferative disorders or poorly differentiated neoplastic diagnoses with CC	0	0.8548	23.6	19.7
845	Other myeloproliferative disorders or poorly differentiated neoplastic diagnoses without CC/MCC	0	0.8548	23.6	19.7
846	Chemotherapy without acute leukemia as secondary diagnosis with MCC	2	1.0152	25.2	21.0
847	Chemotherapy without acute leukemia as secondary diagnosis with CC	0	1.0152	25.2	21.0
848	Chemotherapy without acute leukemia as secondary diagnosis without CC/MCC	0	1.0152	25.2	21.0
849	Radiotherapy	0	1.0152	25.2	21.0
853	Infectious and parasitic diseases with O.R. procedures with MCC	724	1.7175	36.6	30.5
854	Infectious and parasitic diseases with O.R. procedures with CC	23	0.8548	23.6	19.7
855	Infectious and parasitic diseases with O.R. procedures without CC/MCC	1	0.5193	16.9	14.1
856	Postoperative or post-traumatic infections with O.R. procedures with MCC	160	1.4252	33.8	28.2
857	Postoperative or post-traumatic infections with O.R. procedures with CC	33	1.2505	32.2	26.8
858	Postoperative or post-traumatic infections with O.R. procedures without CC/MCC	1	0.5193	16.9	14.1
862	Postoperative and post-traumatic infections with MCC	810	1.0876	25.9	21.6
863	Postoperative and post-traumatic infections without MCC	153	0.7306	21.6	18
864	Fever and inflammatory conditions	1	1.0152	25.2	21.0
865	Viral illness with MCC	28	1.1185	23.5	19.6
866	Viral illness without MCC	2	0.5193	16.9	14.1
867	Other infectious and parasitic diseases diagnoses with MCC	85	1.1453	24.8	20.7
868	Other infectious and parasitic diseases diagnoses with CC	14	0.6374	19.3	16.1
869	Other infectious and parasitic diseases diagnoses without CC/MCC	0	0.6374	19.3	16.1
870	Septicemia or severe sepsis with MV >96 hours	874	1.9471	29.4	24.5
871	Septicemia or severe sepsis without MV >96 hours with MCC	"3,581"	0.932	22.7	18.9
872	Septicemia or severe sepsis without MV >96 hours without MCC	283	0.5851	18.4	15.3
876	O.R. procedures with principal diagnosis of mental illness	0	0.7881	22.9	19.1
880	Acute adjustment reaction and psychosocial dysfunction	0	0.4959	17.7	14.8
881	Depressive neuroses	0	0.6214	20.3	16.9
882	Neuroses except depressive	0	0.6214	20.3	16.9
883	Disorders of personality and impulse control	0	0.6214	20.3	16.9
884	Organic disturbances and intellectual disability	0	0.5152	24.5	20.4
885	Psychoses	0	0.4901	23.1	19.3
886	Behavioral and developmental disorders	0	0.4959	17.7	14.8
887	Other mental disorder diagnoses	0	0.4959	17.7	14.8
894	"Alcohol, drug abuse or dependence, left AMA"	0	0.4959	17.7	14.8
895	"Alcohol, drug abuse or dependence with rehabilitation therapy"	0	0.467	25.4	21.2
896	"Alcohol, drug abuse or dependence without rehabilitation therapy with MCC"	0	0.7881	22.9	19.1
897	"Alcohol, drug abuse or dependence without rehabilitation therapy without MCC"	0	0.6214	20.3	16.9
901	Wound debridements for injuries with MCC	135	1.4248	33	27.5
902	Wound debridements for injuries with CC	39	0.9523	29.3	24.4
903	Wound debridements for injuries without CC/MCC	0	0.9523	29.3	24.4
